"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.681322334984000E9,"2023-04-12 13:58:54.984 UTC-04:00"
"PAUSE",2.816504141666664E2,1.681322616634000E9,"2023-04-12 14:03:36.634 UTC-04:00"
