"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.681319370757000E9,"2023-04-12 13:09:30.757 UTC-04:00"
"PAUSE",3.017007920416654E2,1.681319672459000E9,"2023-04-12 13:14:32.459 UTC-04:00"
