"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.204837083E-1,4.125035226E-2,-2.549208854E0,-5.288490808E-1,2.603814264E0
6.304417083E-1,-5.016384780E-2,-2.110843096E0,-1.300648218E0,2.479891283E0
6.404007083E-1,1.534408790E-1,-2.667805005E0,-1.562461392E0,3.095482717E0
6.503587083E-1,3.848812759E-2,-3.178532395E0,-1.498212771E0,3.514141578E0
6.603177084E-1,-5.257810467E-1,-3.429505124E0,-1.615980957E0,3.827446349E0
6.702767083E-1,-7.434588522E-1,-4.235664254E0,-1.439120809E0,4.534826506E0
6.802347084E-1,-5.027605587E-1,-4.972202634E0,-1.377452565E0,5.183911919E0
6.901937083E-1,-5.257097107E-1,-5.077318615E0,-1.194401971E0,5.242340230E0
7.001517084E-1,-5.281579399E-1,-4.439408437E0,-1.515840957E0,4.720706715E0
7.101107083E-1,-2.848523730E-1,-4.207678603E0,-2.107062287E0,4.714383478E0
7.200687084E-1,-4.665575230E-1,-4.134803000E0,-2.051175184E0,4.639136925E0
7.300277083E-1,-1.549246100E0,-4.214786478E0,-1.677888937E0,4.793735477E0
7.399857084E-1,-2.981223950E0,-4.593163311E0,-1.072895660E0,5.579959726E0
7.499447083E-1,-3.886993908E0,-4.792308952E0,-6.357279968E-1,6.203152167E0
7.599027083E-1,-4.849787666E0,-4.714729849E0,-2.059757727E-1,6.766944951E0
7.698617083E-1,-6.044025915E0,-4.426567951E0,2.573295289E-1,7.496063739E0
7.798197083E-1,-7.010850159E0,-4.202414939E0,5.858904237E-1,8.194850753E0
7.897787083E-1,-7.818088101E0,-3.839556032E0,1.031429838E0,8.770891607E0
7.997367083E-1,-8.473852751E0,-2.786988802E0,1.933083647E0,9.127447585E0
8.096957083E-1,-8.721104604E0,-1.448600900E0,2.731688468E0,9.253012048E0
8.196537083E-1,-8.647922022E0,3.378860343E-1,2.464470420E0,8.998574150E0
8.296127084E-1,-8.727422521E0,1.420924274E0,2.679469616E0,9.239398631E0
8.395707083E-1,-8.971987578E0,2.047027169E0,3.541453868E0,9.860465345E0
8.495297084E-1,-9.127902998E0,3.008029926E0,2.998698939E0,1.006772330E1
8.594877083E-1,-8.924641503E0,3.499353331E0,5.654967973E0,1.112984108E1
8.694467084E-1,-8.647465940E0,3.162389402E0,5.440904331E0,1.069499013E1
8.794047083E-1,-7.817170088E0,3.626989278E0,4.439210216E0,9.693801460E0
8.893637084E-1,-7.195975345E0,3.833663793E0,5.116189150E0,9.625717151E0
8.993227083E-1,-6.122228916E0,3.752672839E0,5.212775213E0,8.873402152E0
9.092807084E-1,-4.529880651E0,4.257260068E0,5.178036320E0,8.090497026E0
9.192397083E-1,-3.090170442E0,4.557140955E0,5.358128808E0,7.682853074E0
9.291977083E-1,-1.694156476E0,4.896556036E0,5.020724584E0,7.214852911E0
9.391567083E-1,-7.648257476E-1,5.201475468E0,4.259659181E0,6.766461543E0
9.491147083E-1,-2.523564720E-1,5.036379919E0,3.509178407E0,6.143544545E0
9.590737083E-1,-7.321591079E-2,4.846281676E0,3.120780616E0,5.764640345E0
9.690317083E-1,-7.363983393E-3,4.951062026E0,3.328459682E0,5.965879086E0
9.789907083E-1,-2.787648368E-1,5.450520077E0,3.469695668E0,6.467199315E0
9.889487083E-1,-9.237331885E-1,4.198479179E0,2.117196096E0,4.791975556E0
9.989077084E-1,-1.085204633E0,2.330699574E0,1.545778116E0,2.999876595E0
1.008865708E0,-1.040806725E0,1.800254788E0,1.124138904E0,2.363870601E0
