Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),walk-jump
6.722952917E-1,-1.597516619E0,-4.651275864E0,4.055287299E0,6.374306362E0,1
6.822182917E-1,-1.574121909E0,-4.457835937E0,4.052686750E0,6.226911829E0,1
6.921402917E-1,-1.677239311E0,-4.539339691E0,4.473534834E0,6.590239029E0,1
7.020632917E-1,-1.656368260E0,-4.697399286E0,4.991300810E0,7.051396999E0,1
7.119852917E-1,-1.588439986E0,-4.310427631E0,5.105868815E0,6.868247542E0,1
7.219082917E-1,-1.438358917E0,-3.666505346E0,5.264001499E0,6.574332636E0,1
7.318302917E-1,-1.185418893E0,-3.126576376E0,5.922026099E0,6.800815459E0,1
7.417522917E-1,-1.119997905E0,-2.524713113E0,6.179423456E0,6.768592605E0,1
7.516752917E-1,-1.293636822E0,-2.114946088E0,5.889943596E0,6.390456067E0,1
7.615972917E-1,-1.313343692E0,-2.148915487E0,5.501363372E0,6.050430429E0,1
7.715202917E-1,-1.079237550E0,-2.437032360E0,5.464108422E0,6.079503373E0,1
7.814422917E-1,-1.033278435E0,-1.977360519E0,4.833511941E0,5.323575550E0,1
7.913652917E-1,-9.176129079E-1,-8.044920892E-1,3.420670566E0,3.631832608E0,1
8.012872917E-1,-6.807117963E-1,-1.908928800E-1,3.109442280E0,3.188799137E0,1
8.112102917E-1,-3.682126182E-1,1.288685399E-1,3.209577602E0,3.233199038E0,1
8.211322917E-1,-7.836146057E-2,4.678059036E-1,3.252347938E0,3.286753716E0,1
8.310552917E-1,-6.847557306E-2,5.676839483E-1,3.108878024E0,3.161024602E0,1
8.409772917E-1,-1.939381099E-1,4.748845428E-1,2.732160630E0,2.779897305E0,1
8.509002917E-1,-3.768144572E-1,4.004377931E-1,2.328266840E0,2.392313951E0,1
8.608222917E-1,-7.079644990E-1,5.641335189E-1,1.643731842E0,1.876516647E0,1
8.707452917E-1,-1.187162533E0,3.342993522E-1,1.191346216E0,1.714764340E0,1
8.806672917E-1,-1.438604500E0,-6.150803089E-2,1.341492189E0,1.967985630E0,1
8.905902917E-1,-1.441090152E0,3.637412524E-1,6.252913016E-1,1.612463251E0,1
9.005122917E-1,-7.278877169E-1,1.110448818E0,3.416677210E-1,1.371004718E0,1
9.104352917E-1,2.471623904E-1,1.396559219E0,4.455131015E-1,1.486589662E0,1
9.203572917E-1,4.602974939E-1,1.530426251E0,1.079373498E0,1.928503420E0,1
9.302802917E-1,3.503008425E-1,1.580528996E0,1.825378812E0,2.439834092E0,1
9.402022917E-1,-2.447819889E-1,1.748133585E0,2.311652269E0,2.908543530E0,1
9.501242917E-1,-8.987357569E-1,1.856880394E0,2.554930062E0,3.283808518E0,1
9.600472917E-1,-1.847977424E0,2.087929612E0,2.258829693E0,3.588423359E0,1
9.699702917E-1,-2.750124446E0,2.311111694E0,1.640176735E0,3.949000058E0,1
9.798922917E-1,-3.214002190E0,9.649461186E-1,2.106542177E0,3.962127084E0,1
9.898142917E-1,-4.018669696E0,4.363013980E-1,2.089667697E0,4.550469879E0,1
9.997372917E-1,-2.220434536E0,2.011472882E0,-4.958874491E-1,3.036816927E0,1
1.009659292E0,6.025544035E-1,1.431762381E0,-1.564607320E0,2.204770144E0,1
1.019582292E0,2.445017318E0,5.801724315E-1,-1.551352267E0,2.953202261E0,1
1.029504292E0,4.734359536E0,-4.178300437E-1,-2.152031761E0,5.217277342E0,1
1.039427292E0,6.144390448E0,-1.460727441E0,-2.432057549E0,6.767729498E0,1
1.049349292E0,5.947625794E0,-1.622089835E0,-1.797778785E0,6.421638154E0,1
1.059272292E0,4.745051170E0,-7.332838199E-1,-1.346980970E0,4.986739767E0,1
1.069194292E0,3.374449203E0,-5.890142986E-1,-3.790159339E-1,3.446374667E0,1
1.079117292E0,2.697508276E0,-1.033659966E0,1.946282567E0,3.483248434E0,1
1.089039292E0,1.767201063E0,-1.089212607E0,3.006364639E0,3.653438386E0,1
1.098962292E0,8.225313342E-1,-6.061410856E-1,2.728959864E0,2.913964096E0,1
1.108884292E0,3.263798833E-1,-2.458996841E-1,2.342446046E0,2.377823366E0,1
1.118807292E0,7.972386181E-2,2.613375029E-1,1.067152963E0,1.101575522E0,1
1.128729292E0,1.011133275E0,1.208671516E0,-4.676100218E-1,1.643756814E0,1
1.138652292E0,1.810057061E0,1.361695780E0,-7.022071843E-1,2.371416642E0,1
1.148574292E0,2.600123484E0,2.489966619E-1,-8.188241994E-1,2.737355392E0,1
1.158497292E0,2.384246036E0,1.726033741E-1,-1.681180773E0,2.922462982E0,1
1.168419292E0,2.406205255E0,-1.501045454E0,-1.923329322E0,3.426683071E0,1
1.178342292E0,3.337142798E0,-2.246713677E0,-1.119855818E0,4.175921629E0,1
1.188264292E0,2.704264734E0,1.739206933E0,-1.005505330E0,3.368817222E0,1
1.198187292E0,-9.068078381E-1,1.113962702E0,-1.874213442E0,2.361332120E0,1
1.208109292E0,-2.950666401E0,-3.424889624E-2,-1.540472499E0,3.328762641E0,1
1.218032292E0,-3.215782667E0,1.635121232E-1,-1.140557008E0,3.415971994E0,1
1.227954292E0,-2.414264472E0,-2.799448049E-1,-8.369798040E-1,2.570520809E0,1
1.237877292E0,-1.295423731E0,2.464075148E-1,-1.056568480E0,1.689726681E0,1
1.247799292E0,-1.382912110E0,7.449399519E-1,-1.566498309E-2,1.570868176E0,1
