"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.681422406736892E9,"2023-04-13 17:46:46.737 UTC-04:00"
"PAUSE",4.600569849999738E1,1.681422452742331E9,"2023-04-13 17:47:32.742 UTC-04:00"
