"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.681321005074000E9,"2023-04-12 13:36:45.074 UTC-04:00"
"PAUSE",2.553127290833363E2,1.681321260388000E9,"2023-04-12 13:41:00.388 UTC-04:00"
