"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.181098333E-1,3.318622327E-1,1.325207693E0,2.256107229E0,2.637485128E0
6.280708333E-1,3.029945290E-1,1.354431492E0,2.285816347E0,2.674181505E0
6.380308333E-1,-1.434512619E0,7.151127201E-1,3.646427469E0,3.983170338E0
6.479908333E-1,-1.521660106E0,2.567401296E-1,1.678301166E0,2.279925388E0
6.579508333E-1,-2.035164923E0,-8.091599214E-1,1.252933769E0,2.523188275E0
6.679108333E-1,-1.090032095E-1,8.809613907E-1,1.831208194E0,2.035017966E0
6.778718333E-1,-1.442675332E0,1.038704651E0,2.755325252E0,3.279029843E0
6.878318333E-1,-2.264433079E0,1.001972442E0,1.686993344E0,2.996256412E0
6.977918333E-1,-7.913095415E-1,1.270873026E0,2.309498155E-1,1.514802580E0
7.077518333E-1,9.386318940E-1,1.355168826E0,-1.229284120E0,2.056368602E0
7.177118333E-1,2.500850626E0,2.114991696E0,-1.580667867E0,3.636750560E0
7.276737500E-1,2.098987867E0,2.742760170E0,-1.801038900E-1,3.458456423E0
7.376337500E-1,8.881166285E-1,2.444362138E0,-5.641428745E-1,2.661186688E0
7.475937500E-1,7.082545209E-1,8.633218029E-1,-4.243621438E0,4.388082942E0
7.575537500E-1,1.037177358E0,2.409833452E-1,-4.911116188E0,5.025223582E0
7.675137500E-1,1.313315626E0,-6.095520589E-1,-4.605046608E0,4.827297992E0
7.774747500E-1,2.243173773E0,-7.335963535E-1,-4.019697052E0,4.661325624E0
7.874347500E-1,2.221584683E0,-2.070972687E-1,-2.607601781E0,3.431896681E0
7.973947500E-1,1.876231754E0,1.424949790E0,-1.089615188E0,2.595763618E0
8.073547500E-1,2.123136283E0,2.756518669E0,-1.043330383E-1,3.480946456E0
8.173157500E-1,2.206121721E0,2.510825099E0,-3.546485397E-1,3.361099718E0
8.272757500E-1,2.103411285E0,1.769641983E0,4.053842452E-1,2.778544254E0
8.372357500E-1,1.622588310E0,-7.653312394E-1,9.161499345E-1,2.014411932E0
8.471957500E-1,7.700139821E-1,1.073791161E0,3.622676079E0,3.856129013E0
8.571557500E-1,-5.361464059E-1,7.011349511E-1,-1.912251480E0,2.106121770E0
8.671167500E-1,7.636738461E-1,1.787313731E0,-4.921110249E0,5.291031487E0
8.770767500E-1,1.606561677E0,8.067295262E-1,-3.581490046E0,4.007358719E0
8.870367500E-1,1.605392818E0,-1.079503891E0,-3.355114800E-1,1.963461918E0
8.969967500E-1,1.892683480E0,-1.439892057E0,-1.162387003E-1,2.380976969E0
9.069567500E-1,2.188422199E0,-1.488997559E0,-1.018435863E0,2.836109494E0
9.169177500E-1,2.040916244E0,-1.812472399E0,-3.984110020E-1,2.758464544E0
9.268777500E-1,1.689324337E0,-1.376635709E0,5.535038656E-1,2.248401458E0
9.368377500E-1,4.633795613E-1,-7.751539039E-1,1.458741142E0,1.715666025E0
9.467977500E-1,-3.560948485E-1,-4.847072804E-1,2.122017710E0,2.205607366E0
9.567577500E-1,-2.938179088E-1,-8.018747292E-2,2.589533007E0,2.607381865E0
9.667187500E-1,-2.651577812E-1,-1.803909883E-2,2.020284929E0,2.037691157E0
9.766787500E-1,-1.557885361E-1,-1.409399156E-1,9.693502414E-1,9.918538291E-1
9.866387500E-1,1.159976488E-1,-2.763858240E-1,7.209090650E-1,7.807396866E-1
9.965987500E-1,1.906192303E-4,-3.023593021E-1,1.608183110E0,1.636360015E0
1.006558750E0,-1.027344096E-1,-6.489837809E-1,3.215181574E0,3.281634784E0
1.016519750E0,1.952449626E-1,-1.132870331E0,4.385044534E0,4.533225270E0
1.026479750E0,7.821235657E-2,-1.974946349E0,5.041065878E0,5.414690706E0
1.036439750E0,-2.284232336E-1,-1.889677134E0,5.688532745E0,5.998538291E0
1.046399750E0,-3.069437385E-1,-4.252885693E-1,4.840417503E0,4.868749986E0
1.056360750E0,-2.095174313E-1,1.305335054E0,2.749470727E0,3.050800950E0
1.066320750E0,-5.083575135E-1,1.823419995E0,1.501802377E0,2.416339839E0
1.076280750E0,-4.698009735E-1,1.207535328E0,6.427867556E-1,1.446384920E0
1.086240750E0,-2.770235360E-2,4.003715003E-1,1.695049528E-1,4.356566167E-1
1.096200750E0,-1.777436614E-2,-4.482579307E-1,-4.879735351E-1,6.628493581E-1
1.106161750E0,2.484797680E-1,-4.017819218E-1,-1.482541648E0,1.555988640E0
1.116121750E0,5.204618347E-1,-4.084046245E-2,-2.250938290E0,2.310686403E0
1.126081750E0,8.095136780E-1,1.329316239E-1,-2.773760061E0,2.892529704E0
1.136041750E0,7.983355558E-1,1.446412580E-1,-2.838840741E0,2.952503600E0
1.146001750E0,2.493971962E-1,2.599370947E-1,-1.160306271E0,1.214939051E0
1.155962750E0,-4.081005692E-1,3.919553836E-1,1.673270806E0,1.766355085E0
1.165922750E0,-3.149345434E-1,6.041945475E-1,3.624885449E0,3.688364046E0
1.175882750E0,2.612208509E-1,1.831264620E-1,5.272967620E0,5.282609124E0
1.185842750E0,4.723486054E-1,-3.954445633E-1,7.113473471E0,7.140097649E0
1.195802750E0,7.617729163E-1,-9.274955794E-2,7.701744297E0,7.739881502E0
1.205763750E0,7.506696385E-1,3.081099656E-1,6.245939627E0,6.298428255E0
1.215723750E0,4.067790985E-1,4.693108307E-1,3.717767301E0,3.769285820E0
1.225683750E0,4.328185040E-1,5.077159278E-1,1.426836979E0,1.575109864E0
1.235643750E0,8.094037503E-1,8.496252850E-1,-8.349362022E-1,1.440179162E0
1.245603750E0,1.108190038E0,9.793891798E-1,-2.667872248E0,3.050382051E0
1.255564750E0,1.345681134E0,8.402440122E-1,-3.581609622E0,3.917243316E0
1.265524750E0,1.423601130E0,6.383522272E-1,-3.382953978E0,3.725387411E0
1.275484750E0,1.516485904E0,-8.358302414E-3,-2.296137267E0,2.751735036E0
1.285444750E0,6.244475484E-1,1.310153452E-1,-1.723176792E0,1.837508644E0
1.295404750E0,5.907617390E-2,7.742175454E-1,-1.030297524E0,1.290122394E0
1.305365750E0,-1.744505095E-1,1.564641234E0,-1.922389090E-1,1.586029939E0
1.315325750E0,-7.707396215E-1,2.283331865E0,7.365948788E-1,2.519963489E0
1.325285750E0,-1.087436516E0,2.615409275E0,1.695372112E0,3.301086253E0
1.335245750E0,-1.281935374E0,2.581858829E0,2.176009730E0,3.611699276E0
1.345205750E0,-1.529923391E0,2.457983811E0,1.732194952E0,3.373847855E0
1.355166750E0,-1.816293116E0,2.038816802E0,5.055245376E-1,2.776913699E0
1.365126750E0,-1.967456505E0,1.211938355E0,-2.888401741E-1,2.328756819E0
1.375086750E0,-2.024873824E0,5.901527515E-1,-2.463309163E-1,2.123457838E0
1.385046750E0,-2.065833569E0,3.254063219E-2,-1.545935114E-1,2.071865435E0
1.395006750E0,-1.400413411E0,9.814990014E-2,-7.876959622E-2,1.406056818E0
1.404967750E0,-1.401212726E0,-3.301957762E-1,3.951548338E-1,1.492840814E0
1.414927750E0,-1.547396625E0,-1.672867641E0,1.368054920E0,2.657912098E0
1.424887750E0,-2.296651238E0,-1.192343166E0,2.040270566E0,3.295298638E0
1.434847750E0,-1.269181427E0,-4.740834743E-1,2.173401726E0,2.561103609E0
1.444807750E0,-5.598176891E-1,-1.620526582E-1,1.624605307E0,1.725977785E0
1.454768750E0,-2.263006943E-1,-6.275231838E-3,9.962471411E-1,1.021645608E0
1.464728750E0,-3.946092886E-1,-2.056114912E-2,1.911232603E-1,4.389388933E-1
1.474688750E0,-3.639084828E-1,1.747054482E-1,-5.256524080E-1,6.627683091E-1
1.484648750E0,1.575584882E-1,7.393348110E-1,-1.547072105E0,1.721880582E0
1.494608750E0,6.287095839E-1,1.729406415E0,-2.069933929E0,2.769611662E0
1.504569750E0,1.473231127E0,3.458569002E0,-7.915307124E-1,3.841696287E0
1.514529750E0,1.121373171E0,4.443095691E0,-6.466608283E-1,4.627823175E0
1.524489750E0,2.219673228E-1,4.340848939E0,-1.386079547E0,4.562176621E0
1.534449750E0,5.658274573E-1,5.083036607E0,-2.137645563E0,5.543189552E0
1.544410750E0,1.047674280E0,6.100962592E0,-2.342479960E0,6.618653814E0
1.554370750E0,1.209204782E0,6.671704634E0,-1.811114383E0,7.018116146E0
1.564330750E0,1.618683832E0,7.130665455E0,-1.236827613E0,7.415946988E0
1.574290750E0,1.290374660E0,7.512962261E0,-6.351152086E-1,7.649381677E0
1.584250750E0,1.634718651E0,7.715830239E0,-1.571661401E-1,7.888665448E0
1.594210750E0,2.483297577E0,7.855834801E0,-3.245450270E-1,8.245376690E0
1.604171750E0,2.508199992E0,7.466442983E0,-7.216754888E-1,7.909466071E0
1.614131750E0,2.134096304E0,7.145062469E0,-6.008962063E-1,7.481133669E0
1.624091750E0,2.306563730E0,6.302835374E0,-6.757668060E-1,6.745563784E0
1.634051750E0,2.684722170E0,5.154345741E0,-6.677327317E-1,5.849861549E0
1.644011750E0,3.458461413E0,3.476014754E0,-1.576184222E0,5.150533042E0
1.653972750E0,6.191548827E0,-1.477791370E0,-4.303634920E0,7.683776268E0
1.663932750E0,7.923970651E0,-5.249175299E0,-5.603541126E0,1.103371313E1
1.673892750E0,9.037017387E0,-8.556792582E0,-3.506451266E0,1.292987173E1
1.683852750E0,9.104859706E0,-6.665617098E0,2.360717425E0,1.152830900E1
1.693812750E0,8.859279572E0,-7.893518352E0,1.521557779E0,1.196284266E1
1.703773750E0,3.735438756E0,-6.420964333E0,-3.803331946E0,8.345514936E0
1.713733750E0,-6.599009126E0,-7.131757715E0,-1.509635540E1,1.795296176E1
1.723693750E0,-1.105623929E1,-9.148905028E0,-1.542799661E1,2.107049999E1
1.733656500E0,-1.287814983E1,-9.458120409E0,-1.056251327E1,1.915383698E1
1.743616500E0,-1.094852188E1,-7.271973361E0,-5.250155293E0,1.415329851E1
1.753577500E0,-6.965640657E0,-4.435179731E0,-1.785190022E0,8.448542621E0
1.763537500E0,-3.646825664E0,-1.814258870E0,-6.987305760E-2,4.073788767E0
1.773497500E0,-1.192093782E0,2.069657063E-1,6.557009161E-1,1.376178070E0
1.783457500E0,3.158072403E-1,1.162199015E0,1.080978778E0,1.618318844E0
1.793417500E0,8.988301894E-1,1.677335206E0,1.570500144E0,2.467350766E0
1.803378500E0,7.490318334E-1,1.809218570E0,2.210977249E0,2.953428672E0
1.813338500E0,3.046680021E-1,1.388245355E0,2.671534944E0,3.026077778E0
1.823298500E0,-1.057913339E-1,7.622219825E-1,2.967867740E0,3.066009309E0
1.833258500E0,-6.520352966E-1,1.428679436E-1,2.909305537E0,2.984898655E0
1.843218500E0,-9.920660895E-1,-3.188089085E-1,2.968753009E0,3.146319862E0
1.853179500E0,-1.111674394E0,-5.420187646E-1,3.104132423E0,3.341443161E0
1.863139500E0,-1.300328375E0,-6.981002462E-1,3.351840359E0,3.662380596E0
1.873099500E0,-1.719490707E0,-7.184099650E-1,3.405014938E0,3.881608932E0
1.883059500E0,-2.040998398E0,-4.208837521E-1,3.285087376E0,3.890323464E0
1.893019500E0,-2.128356092E0,1.201515108E-1,3.158950070E0,3.810944973E0
1.902980500E0,-2.002020858E0,7.469911551E-1,2.897232206E0,3.600005244E0
1.912940500E0,-1.817438001E0,1.265344484E0,2.281192954E0,3.179311064E0
1.922900500E0,-1.735519679E0,1.520307645E0,1.602773266E0,2.809314157E0
1.932860500E0,-1.625912452E0,1.519123583E0,1.003502659E0,2.440972214E0
1.942820500E0,-1.556086465E0,1.306241664E0,5.997513214E-1,2.118342281E0
1.952781500E0,-1.503979587E0,1.069271556E0,3.483467396E-1,1.877935491E0
1.962741500E0,-1.484111918E0,9.080047631E-1,7.153596919E-2,1.741315086E0
1.972701500E0,-1.443999434E0,7.412164450E-1,-1.879061039E-1,1.633965999E0
1.982661500E0,-1.324147300E0,7.046064430E-1,-3.363236582E-1,1.537188966E0
1.992621500E0,-1.175461377E0,7.205026835E-1,-4.539474177E-1,1.451517077E0
2.002582500E0,-1.104576459E0,7.557304037E-1,-5.691024828E-1,1.454336698E0
2.012542500E0,-1.072328480E0,7.200863618E-1,-6.979084575E-1,1.468158354E0
2.022502500E0,-9.971429345E-1,6.628415358E-1,-7.367164278E-1,1.405846374E0
2.032462500E0,-9.363795465E-1,6.383428717E-1,-7.636557198E-1,1.366549792E0
2.042422500E0,-8.313685235E-1,6.708989990E-1,-8.215115798E-1,1.347649941E0
2.052383500E0,-7.872243842E-1,6.445982230E-1,-7.354557681E-1,1.255437887E0
2.062343500E0,-8.952800524E-1,5.905874920E-1,-5.279018319E-1,1.195408007E0
2.072303500E0,-9.670379600E-1,6.469160593E-1,-2.748963189E-1,1.195504408E0
2.082263500E0,-1.046480278E0,7.535979241E-1,-5.397795917E-2,1.290714695E0
2.092223500E0,-1.048230642E0,8.448524952E-1,1.357898708E-1,1.353145265E0
2.102184500E0,-9.209645319E-1,9.022265446E-1,2.775836810E-1,1.318802907E0
2.112144500E0,-8.438268936E-1,8.759725463E-1,3.029793262E-1,1.253462485E0
2.122104500E0,-7.652169263E-1,7.972777945E-1,2.853066834E-1,1.141318855E0
2.132064500E0,-7.052396965E-1,7.292191279E-1,1.982299662E-1,1.033643403E0
2.142024500E0,-6.829343230E-1,6.090079755E-1,6.038070599E-2,9.170255358E-1
2.151985500E0,-7.084933797E-1,4.793851447E-1,-7.461513123E-2,8.586852763E-1
2.161945500E0,-7.529792887E-1,4.387961125E-1,-1.905677748E-1,8.920963594E-1
