"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.143246667E-1,2.465700674E-1,4.182272889E-1,-1.154819244E-1,4.990460282E-1
6.242826667E-1,9.057980239E-1,-7.697159202E-1,8.751644611E-2,1.191885811E0
6.342416667E-1,1.701949060E-2,-4.422195842E-1,-9.435885787E-2,4.524946605E-1
6.441996667E-1,-1.123063016E-1,-1.870518440E-1,-5.452265471E-1,5.872589594E-1
6.541586667E-1,1.746329427E-2,-3.133956293E-1,-1.567801361E0,1.598913036E0
6.641166667E-1,5.440413165E-1,8.701241612E-3,-2.847896909E0,2.899409158E0
6.740742917E-1,1.293285989E0,7.642006803E-1,-1.756472007E0,2.311230244E0
6.840332917E-1,2.078921392E0,7.889234389E-1,3.801152104E-1,2.255837299E0
6.939912917E-1,2.448432677E0,8.044575175E-1,1.287830536E0,2.881055702E0
7.039502917E-1,2.431137198E0,1.377421136E0,1.716500441E0,3.279343047E0
7.139082917E-1,2.068167778E0,1.802705649E0,1.685435354E0,3.219900300E0
7.238672917E-1,2.065670432E0,1.838682982E0,1.545233740E0,3.167885218E0
7.338252917E-1,2.599436436E0,1.412187657E0,2.019227752E0,3.581706923E0
7.437842917E-1,1.409415200E0,7.625279380E-1,1.766126345E0,2.384764627E0
7.537422917E-1,2.161215105E0,1.158935684E-1,1.679334953E0,2.739424745E0
7.637002917E-1,1.689167047E0,-2.100610761E-1,1.701221082E0,2.406566877E0
7.736592917E-1,1.661688641E0,-1.060809904E0,1.445993627E0,2.444877167E0
7.836172917E-1,1.767521490E0,-1.734604298E0,2.060174049E0,3.221381909E0
7.935762917E-1,1.638372284E0,-1.848189385E0,2.663673655E0,3.632523240E0
8.035342917E-1,8.311764425E-1,-2.109476602E0,2.731985506E0,3.550280358E0
8.134932917E-1,-3.979731917E-1,-2.355155554E0,2.460126816E0,3.428901325E0
8.234512917E-1,-1.965185446E0,-1.916153327E0,1.865136078E0,3.318483087E0
8.334102917E-1,-3.625715754E0,-1.481118290E0,1.877217010E0,4.343209622E0
8.433682917E-1,-4.634946930E0,-1.047684878E0,2.287568758E0,5.273836124E0
8.533262917E-1,-5.392975874E0,4.573673080E-1,1.765923446E0,5.693141422E0
8.632852917E-1,-6.432805529E0,1.232206559E0,1.077010930E0,6.637715912E0
8.732432917E-1,-7.468923957E0,1.178784131E0,6.572796643E-1,7.589886274E0
8.832022917E-1,-8.036352966E0,8.510751021E-1,6.176215088E-1,8.104859910E0
8.931602917E-1,-9.063049191E0,9.440858844E-1,4.134841007E-1,9.121465227E0
9.031192917E-1,-9.006939309E0,1.150800453E0,1.287556887E-2,9.080168676E0
9.130772917E-1,-9.415961984E0,5.510842512E-1,-1.218380232E0,9.510440807E0
9.230352917E-1,-9.876772864E0,7.639714329E-2,-3.032765987E0,1.033218991E1
9.329942917E-1,-1.009405072E1,-1.416782107E0,-3.101217002E0,1.065432674E1
9.429522917E-1,-9.472774701E0,-2.549394503E0,-2.130296783E0,1.003847784E1
9.529112917E-1,-9.151314665E0,-3.225850403E0,-1.186162659E0,9.775461768E0
9.628692917E-1,-8.397868184E0,-3.336695193E0,-1.640390158E0,9.184149646E0
9.728282917E-1,-9.162620257E0,-2.685060431E0,-2.756024871E0,9.937747862E0
9.827862917E-1,-9.455647622E0,-1.604302020E0,-3.661239343E0,1.026585264E1
9.927452917E-1,-8.955346402E0,-1.024721035E0,-4.033938530E0,9.875269234E0
1.002703292E0,-8.104460750E0,-1.454484661E0,-4.720423282E0,9.491059247E0
1.012661292E0,-6.729204984E0,-3.429188205E0,-5.858289694E0,9.558299514E0
1.022620292E0,-6.430352622E0,-5.165651332E0,-5.941217245E0,1.016520786E1
1.032578292E0,-5.319234298E0,-4.423697846E0,-4.868112548E0,8.459425272E0
1.042537292E0,-6.810567820E-1,-4.505172071E0,-3.014290540E0,5.463182332E0
1.052495292E0,1.547238166E0,-5.372526991E0,-8.301815388E-1,5.652184852E0
1.062454292E0,1.395632143E0,-5.771973097E0,1.038731548E-1,5.939213091E0
1.072412292E0,1.436462665E0,-4.506460798E0,2.069589821E-1,4.734389710E0
1.082371292E0,2.605542684E-1,-1.368926740E0,2.136590141E-1,1.409786906E0
