"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.681421778002660E9,"2023-04-13 17:36:18.003 UTC-04:00"
"PAUSE",9.692700333334506E1,1.681421874928923E9,"2023-04-13 17:37:54.929 UTC-04:00"
