"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.681421122817243E9,"2023-04-13 17:25:22.817 UTC-04:00"
"PAUSE",3.934637724998174E1,1.681421162163506E9,"2023-04-13 17:26:02.164 UTC-04:00"
