Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),WalkingJumping
5.926136667E-1,2.569985765E-1,-2.969373983E0,1.332705578E0,3.264863592E0,0
6.025386667E-1,-1.147662252E-1,-2.909158772E0,1.188989203E0,3.144848386E0,0
6.124626667E-1,-6.058963796E-1,-2.827749742E0,1.004366877E0,3.061377443E0,0
6.223876667E-1,-7.162260300E-1,-2.377743348E0,6.292995679E-1,2.561769135E0,0
6.323126667E-1,6.220250469E-1,-1.438726707E0,2.728814853E0,3.146947760E0,0
6.422366667E-1,1.666909035E0,-1.020545538E0,3.226482487E0,3.772305418E0,0
6.521616667E-1,1.118648076E0,-5.011133981E-1,2.711214150E0,2.975427754E0,0
6.620866667E-1,-5.156188783E-1,-2.155827481E-1,2.577180179E0,2.637081043E0,0
6.720106667E-1,-3.961842361E-1,-7.025540704E-1,1.913516525E0,2.076557166E0,0
6.819356667E-1,1.281347144E-1,-3.933667552E-1,1.490572214E0,1.546919983E0,0
6.918606667E-1,-1.533724666E-3,2.640532422E-1,1.870924237E0,1.889466583E0,0
7.017846667E-1,-9.777079591E-1,6.029110837E-1,1.726777507E0,2.073927479E0,0
7.117096667E-1,-9.505312702E-1,6.400420725E-1,1.446319317E0,1.845265053E0,0
7.216346667E-1,7.561230442E-1,1.783009011E-1,2.305237874E0,2.432618943E0,0
7.315586667E-1,3.014975833E0,-3.920078623E-1,2.351221547E0,3.843434948E0,0
7.414836667E-1,4.063556432E0,-3.514123982E-1,1.254776226E0,4.267369790E0,0
7.514086667E-1,4.105955177E0,5.572864294E-2,1.409240953E0,4.341420696E0,0
7.613326667E-1,3.740079106E0,1.050569236E0,2.250855260E0,4.489792516E0,0
7.712576667E-1,3.120600814E0,1.475005757E0,2.888933837E0,4.501080997E0,0
7.811826667E-1,2.396489229E0,1.021148386E0,2.969441811E0,3.950125228E0,0
7.911066667E-1,2.707430124E0,6.230307680E-1,2.536011103E0,3.761608370E0,0
8.010316667E-1,3.695181261E0,7.731358105E-1,1.222846920E0,3.968306707E0,0
8.109566667E-1,3.818066930E0,1.348522881E0,2.098097920E-1,4.054647850E0,0
8.208806667E-1,3.793187612E0,1.816882516E0,8.015217036E-1,4.281561791E0,0
8.308056667E-1,5.292954572E0,1.840234541E0,1.228779505E0,5.736874615E0,0
8.407306667E-1,6.597576558E0,7.218159682E-1,1.008137162E0,6.713074949E0,0
8.506556667E-1,6.026225821E0,4.886325163E-1,3.849814095E-2,6.046126155E0,0
8.605796667E-1,3.675312422E0,2.167576291E0,3.031939922E-1,4.277643624E0,0
8.705046667E-1,-5.592779911E-1,5.281004033E0,1.870255169E0,5.630244210E0,0
8.804296667E-1,-1.882297656E0,6.377261658E0,1.381817511E0,6.791312860E0,0
8.903536667E-1,-1.954958081E-2,4.023376704E0,-1.182118725E0,4.193488640E0,0
9.002786667E-1,4.714846793E-1,3.216239920E0,-7.862424906E-1,3.344349605E0,0
9.102036667E-1,7.775335014E-1,3.438039427E0,5.719066612E-1,3.570959350E0,0
9.201276667E-1,5.687086728E-1,3.844946580E0,1.399798138E0,4.131159472E0,0
9.300526667E-1,4.531516117E-1,3.389029820E0,1.093099836E0,3.589670842E0,0
9.399776667E-1,6.364860883E-1,2.624017546E0,1.948046672E-1,2.707126056E0,0
9.499016667E-1,9.133608127E-1,1.928723963E0,-4.394170868E-1,2.178828006E0,0
9.598266667E-1,1.147342702E0,2.282888646E0,-3.921587205E-1,2.584910890E0,0
9.697516667E-1,8.100355420E-1,2.481618549E0,1.465867728E-1,2.614589047E0,0
9.796756667E-1,-2.658410284E-1,1.810568107E0,-7.846729517E-2,1.831661934E0,0
9.896006667E-1,-1.370624479E0,8.535584146E-1,-4.556694227E-1,1.677738970E0,0
9.995256667E-1,-1.787374834E0,2.481265962E-1,-7.871837461E-1,1.968739154E0,0
1.009449667E0,-9.867793295E-1,-3.328170830E-1,-9.304992941E-1,1.396542012E0,0
1.019374667E0,-5.097763404E-1,-1.002341986E0,-1.643965146E0,1.991778797E0,0
1.029299667E0,7.032270849E-2,-1.562982963E0,-2.772065538E0,3.183113001E0,0
1.039223667E0,4.321004659E-2,-1.993068479E0,-3.129800238E0,3.710773316E0,0
1.049148667E0,-5.692808229E-1,-2.773133824E0,-4.136720887E0,5.012665115E0,0
1.059073667E0,-6.044144028E-1,-2.886164011E0,-4.262157111E0,5.182783298E0,0
1.068997667E0,-1.238777660E0,-3.421728035E0,-4.295445310E0,5.629710760E0,0
1.078922667E0,-1.898061749E0,-3.987573618E0,-4.512043719E0,6.313629724E0,0
1.088847667E0,-2.434385034E0,-4.384330004E0,-4.569630023E0,6.784548520E0,0
1.098772667E0,-2.786966290E0,-4.967514921E0,-4.317531998E0,7.147339935E0,0
1.108696667E0,-2.925511972E0,-5.533599072E0,-3.958403029E0,7.405963376E0,0
1.118621667E0,-2.767877762E0,-6.036285371E0,-3.714691665E0,7.608996159E0,0
1.128546667E0,-2.259760277E0,-6.209687474E0,-3.422709782E0,7.441886676E0,0
1.138470667E0,-1.855650432E0,-6.227030316E0,-3.085499686E0,7.193028110E0,0
1.148395667E0,-1.878015740E0,-6.590048268E0,-2.497500756E0,7.293366117E0,0
1.158320667E0,-2.158390608E0,-6.739169809E0,-9.159239396E-1,7.135403029E0,0
1.168244667E0,-2.195077500E0,-6.034244692E0,6.254591167E-1,6.451486135E0,0
1.178169667E0,-1.694093326E0,-5.090163193E0,2.067780984E0,5.749385335E0,0
1.188094667E0,-1.031645600E0,-4.176158018E0,3.354003829E0,5.454716318E0,0
1.198018667E0,-4.230957538E-1,-2.806097503E0,3.514227770E0,4.516966906E0,0
1.207943667E0,1.111025645E0,-6.058843929E-1,4.488217193E0,4.663214283E0,0
1.217868667E0,2.200288831E0,1.215332079E0,5.472966369E0,6.022596108E0,0
1.227792667E0,2.987337214E0,2.878831603E0,5.608425890E0,6.976123278E0,0
1.237717667E0,3.777615015E0,4.629693207E0,4.296876124E0,7.359862689E0,0
1.247642667E0,3.167012503E0,5.538028337E0,3.077725813E0,7.083228236E0,0
1.257567667E0,2.375906445E0,5.762893540E0,1.876000497E0,6.509627582E0,0
1.267491667E0,1.858981006E0,4.931442279E0,1.408144892E0,5.455071527E0,0
1.277416667E0,1.909148070E-1,2.967283019E0,1.081482004E0,3.163988038E0,0
1.287341667E0,-1.291465166E0,1.865789212E0,6.885263076E-1,2.371311901E0,0
1.297265667E0,-1.186654410E0,8.500787365E-1,-6.758358032E-1,1.608582164E0,0
1.307190667E0,-1.052000342E0,-6.924851650E-1,-1.193095995E0,1.734854022E0,0
1.317115667E0,-3.201669828E0,-6.250924963E-1,3.530721889E0,4.807018553E0,0
1.327039667E0,-2.534349032E0,1.272564626E0,4.451243201E0,5.277870004E0,0
1.336964667E0,8.524986067E-1,4.964688377E0,3.355677887E0,6.052723241E0,0
1.346889667E0,5.511870818E0,8.734731540E0,2.443528909E0,1.061353327E1,0
1.356813667E0,8.568272420E0,1.093818752E1,2.739060637E0,1.416198050E1,0
1.366738667E0,9.650717168E0,5.063268340E0,-2.166428483E-1,1.090045697E1,0
1.376663667E0,3.362803888E0,-6.430393553E-1,-1.514900724E1,1.553107756E1,0
1.386588667E0,-2.700695593E0,3.497640681E0,-1.320075124E1,1.392074281E1,0
1.396512667E0,-5.252288942E0,5.436207263E0,-9.176129079E-1,7.614519156E0,0
1.406437667E0,-3.980131867E0,9.253569603E-1,5.731225605E0,7.038798343E0,0
1.416362667E0,9.039549816E-1,-2.132269049E0,8.263209146E-1,2.458965668E0,0
1.426286667E0,1.467077517E0,-2.032252425E-1,-4.608134522E0,4.840301718E0,0
1.436211917E0,8.023479152E-1,9.060950625E-1,-6.091164413E0,6.210237866E0,0
1.446136917E0,6.470242327E-1,4.862351578E-1,-5.784061046E0,5.840413270E0,0
1.456060917E0,8.235759392E-1,3.979234904E-1,-4.562021041E0,4.652811667E0,0
1.465985917E0,1.120577657E0,6.923103333E-3,-3.010173515E0,3.211991097E0,0
1.475910917E0,1.829946949E0,1.014988929E0,-3.756656255E0,4.300159832E0,0
1.485834917E0,2.461525177E0,1.823722004E0,-6.208539666E0,6.923224172E0,0
