Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),WalkingJumping
5.918675000E-1,-2.064597029E0,-1.359381160E-1,1.348379624E-1,2.073456375E0,0
6.017905000E-1,-1.958629256E0,1.564445060E0,-7.672885948E-1,2.621535560E0,0
6.117135000E-1,-1.045666346E0,2.019582678E0,-2.972060194E0,3.742362101E0,0
6.216365000E-1,-9.921891734E-2,1.736645853E0,-4.729004656E0,5.038776464E0,0
6.315595000E-1,1.344055608E-1,1.612405969E0,-4.455473077E0,4.740164365E0,0
6.414825000E-1,2.122156106E-1,1.010520487E0,-3.650984496E0,3.794189625E0,0
6.514055000E-1,-4.641916299E-2,-3.324741438E-1,-2.862542430E0,2.882159426E0,0
6.613285000E-1,3.084353632E-1,-9.403717330E-1,-1.589748593E0,1.872627021E0,0
6.712515000E-1,5.217281954E-1,-1.052580678E0,-3.872985148E-1,1.236982835E0,0
6.811745000E-1,2.414658867E-1,-3.655714309E-1,4.226262224E-1,6.087373566E-1,0
6.910980000E-1,-4.682036969E-1,4.588552782E-1,6.694102979E-1,9.369487793E-1,0
7.010210000E-1,-7.255906382E-1,6.990229368E-1,-3.380099952E-2,1.008095902E0,0
7.109440000E-1,-2.554785928E-1,1.011258990E0,-8.125770342E-1,1.322193440E0,0
7.208670000E-1,6.484097305E-1,1.228287755E0,-2.646351571E0,2.988695807E0,0
7.307900000E-1,1.270320026E0,1.336298692E0,-4.196883473E0,4.584019857E0,0
7.407130000E-1,1.029232527E0,1.491113959E0,-2.793224857E0,3.329391166E0,0
7.506360000E-1,5.486909493E-1,1.202088135E0,-1.399938033E0,1.925072502E0,0
7.605590000E-1,2.267411359E-1,8.493946123E-1,-2.021280710E0,2.204191112E0,0
7.704820000E-1,7.216151163E-2,6.241329682E-1,-2.292954043E0,2.377475024E0,0
7.804050000E-1,2.374427100E-1,5.786240888E-1,-1.883226779E0,1.984370927E0,0
7.903280000E-1,1.016743094E-1,2.872520703E-1,-1.731945861E0,1.758547094E0,0
8.002510000E-1,-2.478013448E-1,-2.246494406E-1,-1.852201452E0,1.882159158E0,0
8.101740000E-1,-4.173615356E-1,-6.486462504E-1,-2.642227530E0,2.752507753E0,0
8.200970000E-1,-5.872364527E-1,-8.889942956E-1,-3.480629961E0,3.640047038E0,0
8.300200000E-1,-4.964622304E-1,-6.311116201E-1,-3.933290407E0,4.014417772E0,0
8.399440000E-1,-9.751935102E-2,-3.131955814E-1,-4.420173436E0,4.432328361E0,0
8.498670000E-1,1.766943786E-1,-5.942115963E-1,-4.967765767E0,5.006296539E0,0
8.597900000E-1,2.200511903E-2,-1.531820812E0,-5.410476006E0,5.623185026E0,0
8.697130000E-1,7.342740458E-1,-1.541533037E0,-5.865082405E0,6.108573818E0,0
8.796360000E-1,1.531633701E0,-2.312990697E0,-6.283525529E0,6.868662230E0,0
8.895590000E-1,2.056092400E0,-2.983867477E0,-6.543164708E0,7.479571209E0,0
8.994820000E-1,2.083414392E0,-2.813169418E0,-6.168978574E0,7.093013066E0,0
9.094050000E-1,2.102185124E0,-2.272218647E0,-5.593517829E0,6.392933723E0,0
9.193280000E-1,1.668485445E0,-1.517165059E0,-4.977891975E0,5.464891766E0,0
9.292510000E-1,3.650253010E-1,2.700691500E-1,-3.497488654E0,3.526841037E0,0
9.391740000E-1,-1.876301336E-1,1.883650702E0,-1.471637176E0,2.397719961E0,0
9.490970000E-1,6.497262311E-1,1.124368114E0,2.891342890E-1,1.330393351E0,0
9.590200000E-1,1.543138683E-1,-9.677296856E-1,3.440548468E-1,1.038598696E0,0
9.689430000E-1,-1.733673713E0,-2.813864359E0,-1.604368094E0,3.673888152E0,0
9.788660000E-1,-2.299171972E0,-4.067447461E0,-1.809992741E0,5.010628137E0,0
9.887890000E-1,-1.839310096E0,-4.069347222E0,-8.943316340E-2,4.466614683E0,0
9.987120000E-1,-2.260878557E0,-2.939782687E0,1.287800862E0,3.925853430E0,0
1.008635000E0,-4.039762942E0,-6.117418411E-1,4.855131729E-1,4.114563858E0,0
1.018558000E0,-5.335159190E0,1.263517229E0,1.208000767E0,5.614237724E0,0
1.028481000E0,-7.308899698E0,2.604577893E0,2.341466053E0,8.104708759E0,0
1.038404000E0,-6.610175554E0,1.301115410E0,3.397476708E0,7.545208423E0,0
1.048327000E0,-4.787963301E0,-3.910401481E-1,3.770082339E0,6.106637848E0,0
1.058250000E0,-3.615629892E0,-1.928585969E0,3.401828206E0,5.325848148E0,0
1.068173000E0,-4.310028850E0,-3.363613728E0,7.334571898E-1,5.516176706E0,0
1.078096000E0,-7.650927315E0,-4.175700181E0,-4.574234705E0,9.843616404E0,0
1.088019000E0,-8.162590259E0,-4.734360706E0,-2.968724942E0,9.892187767E0,0
1.097942000E0,-6.766089805E0,-3.399910319E0,1.555489464E-1,7.573873309E0,0
1.107865000E0,-5.023982652E0,-2.128415149E0,1.345959023E0,5.619800568E0,0
1.117788000E0,-5.171213788E0,-2.689859533E-1,1.720181848E0,5.456448577E0,0
1.127711000E0,-5.273695014E0,1.187177736E0,1.700204251E0,5.666740206E0,0
1.137634000E0,-4.665955884E0,1.549525596E0,8.273530213E-1,4.985648093E0,0
