"event","experiment time","system time","system time text"
"START",0.000000000E0,1678643696.201,"2023-03-12 13:54:56.201 UTC-04:00"
"PAUSE",3.148159509E2,1678644011.017,"2023-03-12 14:00:11.017 UTC-04:00"
