"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.681321953327000E9,"2023-04-12 13:52:33.327 UTC-04:00"
"PAUSE",2.713587935833348E2,1.681322224680000E9,"2023-04-12 13:57:04.680 UTC-04:00"
