"event","experiment time","system time","system time text"
"START",0.000000000E0,1678645315.716,"2023-03-12 14:21:55.716 UTC-04:00"
"PAUSE",3.135233785E2,1678645629.239,"2023-03-12 14:27:09.239 UTC-04:00"
