"event","experiment time","system time","system time text"
"START",0.000000000E0,1678640419.733,"2023-03-12 13:00:19.733 UTC-04:00"
"PAUSE",4.495952783E2,1678640869.328,"2023-03-12 13:07:49.328 UTC-04:00"
