"event","experiment time","system time","system time text"
"START",0.000000000E0,1678640903.429,"2023-03-12 13:08:23.429 UTC-04:00"
"PAUSE",3.264622975E2,1678641229.892,"2023-03-12 13:13:49.892 UTC-04:00"
